UserID,UnixTimestamp,Country,Currency,AmountInCents
123456789,1580547892,NL,EUR,199
123456789,1580558752,NL,EUR,199
123456789,1580764942,NL,EUR,599
1337-1337-1337,1581545602,US,USD,649
9988776655,1580608552,US,USD,19999
666666666,1583058685,NO,NOK,20000
123456789,1581510142,NL,EUR,2999
1337-1337-1337,1580608612,US,USD,1699
9988776655,1581250942,US,USD,1599
213213213,1580576752,CA,CAD,1699
9988776655,1583098285,US,USD,9999
123456789,1580930542,NL,EUR,19999
213213213,1583187265,CA,CAD,149
9988776655,1583108065,US,USD,249
213213213,1580591632,CA,CAD,349
1337-1337-1337,1583124121,US,USD,1000
123456789,1580916142,NL,EUR,1399
213213213,1580743342,CA,CAD,1599
199199199,1583246521,DE,EUR,1699
199199199,1583244121,DE,EUR,19999
199199199,1583200921,DE,EUR,2999
2350265508,1558120174,NO,NOK,267646
5576861254,1664661435,US,USD,736361
1787253770,1556114337,NO,NOK,552947
2065979241,1471496741,UK,GBP,734640
4144904399,1706421958,US,USD,87412
6116810008,1619125246,DE,EUR,95593
4063316759,1513465307,IN,INR,425771
1201881275,1551570599,UK,GBP,141803
7544259454,1588272294,BR,BRL,234961
1462779836,1572788876,US,USD,820132
5019310163,1501503467,NL,EUR,826841
324835349,1619829045,UK,GBP,46531
901651408,1468781434,JP,JPY,803851
4009881690,1645842646,DE,EUR,132391
2666633579,1482529073,DE,EUR,255308
4264743130,1632107852,NO,NOK,575727
7054823971,1460969188,IN,INR,732877
1860638644,1626521277,JP,JPY,780813
5774706219,1573136417,AU,AUD,672454
9343375760,1726390561,CA,CAD,236185
4217006021,1453711574,NO,NOK,208736
2528618898,1478567337,AU,AUD,686172
7891723848,1491247235,CA,CAD,297219
8526610098,1697094716,BR,BRL,726897
3764984298,1548417579,DE,EUR,134451
9430984342,1630568144,NL,EUR,25297
5404393932,1503247179,CA,CAD,236462
4205605582,1685054590,AU,AUD,112755
788402007,1607697356,UK,GBP,145610
9589190056,1714048291,US,USD,129913
5396230019,1568953469,DE,EUR,305554
4902813943,1546408594,CA,CAD,865836
2415636876,1706152746,NO,NOK,359391
2727449030,1699064101,NO,NOK,639990
3980431687,1554265409,AU,AUD,417945
3812845033,1466800722,IN,INR,301781
8807847712,1588184429,US,USD,303591
3028496215,1490606622,CA,CAD,743978
7258798219,1664874391,NL,EUR,588132
1510925771,1651140381,NL,EUR,15609
3455084327,1676383066,JP,JPY,822637
5271574081,1604600757,IN,INR,575960
6096821167,1503631774,CA,CAD,597482
5398905435,1604080317,UK,GBP,123955
853837707,1484256504,IN,INR,177318
8469927774,1728764336,CA,CAD,97549
9105254717,1653218017,NL,EUR,354690
9946026609,1733219816,DE,EUR,101905
4812701541,1695235706,AU,AUD,2343
6195954644,1712957491,US,USD,162824
7370515338,1590889614,BR,BRL,377723
1149331157,1654085714,JP,JPY,245186
8467478881,1481091894,JP,JPY,294211
4312511500,1496323667,DE,EUR,77085
3961978401,1653302007,IN,INR,603525
766352620,1664970602,IN,INR,341513
374644138,1587457989,NO,NOK,804857
1560005815,1512841627,JP,JPY,545339
6618219825,1531386898,UK,GBP,230722
4660779941,1557456270,JP,JPY,293596
1986661604,1701331938,DE,EUR,70255
3255001433,1533017545,DE,EUR,702921
8973143839,1683662104,JP,JPY,452301
7054823971,1626139338,NO,NOK,677410
813132238,1580916849,IN,INR,284842
7409662001,1559041007,AU,AUD,529892
4312511500,1611809645,BR,BRL,554972
5688203437,1689873461,NO,NOK,247108
4598369892,1577218761,US,USD,413649
4405714138,1608872076,BR,BRL,34460
9270954651,1720522111,UK,GBP,406332
1157958720,1551030910,JP,JPY,417732
9584421486,1614805207,AU,AUD,808525
7830310163,1707225668,IN,INR,809070
5080108328,1577687893,IN,INR,285143
2288909654,1487459766,CA,CAD,665096
2992742375,1561741802,BR,BRL,404218
9969880036,1514435863,DE,EUR,302704
8308602654,1544958498,DE,EUR,610631
8023035956,1692493482,CA,CAD,120898
6293622910,1668604391,AU,AUD,875552
3686894171,1592913836,DE,EUR,753651
8687847881,1518866184,CA,CAD,320655
7068087426,1478764725,JP,JPY,528017
4144904399,1602411142,JP,JPY,140947
3991042551,1640765755,BR,BRL,447815
4312511500,1537903398,NL,EUR,295272
9961727676,1599112444,IN,INR,243419
1077476771,1536416379,UK,GBP,819447
6816606585,1654232807,BR,BRL,309088
5442602646,1482521095,NO,NOK,562951
8516054634,1716809605,CA,CAD,685966
6349339624,1516860151,AU,AUD,93877
309766902,1564933939,NO,NOK,228029
9343375760,1567091406,AU,AUD,86988
4932472553,1466483743,CA,CAD,655080
8332604752,1513583103,IN,INR,267160
5684976072,1624332687,DE,EUR,605526
8226075367,1588664257,CA,CAD,343868
8118084005,1607276202,IN,INR,784861
7527452426,1630875267,BR,BRL,701556
8420032264,1716196304,US,USD,560806
4585845305,1505982904,DE,EUR,627322
391017820,1508787899,CA,CAD,813952
9793748133,1507262822,JP,JPY,145797
903910173,1454939118,DE,EUR,810505
9501337682,1589049833,AU,AUD,268202
6576011428,1716431006,NL,EUR,35454
4058394442,1514361640,DE,EUR,224837
6429687991,1571624367,CA,CAD,37931
9568390096,1723164463,US,USD,603798
3250279083,1707277591,NO,NOK,321619
967918869,1499333219,JP,JPY,748071
1695952785,1623995822,IN,INR,475297
5008785501,1684472764,US,USD,505863
7192117210,1625215637,UK,GBP,603286
41090048,1525762909,UK,GBP,798216
2831795365,1713194571,BR,BRL,823333
9779027901,1732764171,BR,BRL,712614
